r,g,b
135,77,34
135,78,35
156,64,33
155,64,33
156,64,33
156,64,33
147,69,35
148,69,35
147,69,35
147,69,35
146,69,35
147,69,35
146,70,35
143,71,35
142,72,36
145,70,35
143,72,35
144,71,35
146,69,35
145,70,35
146,69,35
147,69,35
147,69,35
147,69,35
147,68,35
141,73,36
140,74,36
141,73,36
142,73,36
141,73,36
141,73,36
141,73,36
142,73,36
142,72,36
142,72,36
143,72,35
142,71,35
142,72,36
142,72,36
143,72,36
148,69,34
148,69,35
149,69,34
149,69,34
140,73,37
139,74,37
140,73,37
140,73,37
139,74,37
139,74,37
138,74,37
138,74,37
138,74,37
139,74,37
139,73,37
139,74,37
140,73,37
142,72,37
139,74,37
139,74,37
139,74,37
141,73,37
139,74,37
132,81,34
132,81,34
135,80,33
132,81,33
133,81,33
135,79,33
136,78,33
134,79,34
134,79,34
135,79,33
134,79,34
135,78,34
140,74,34
147,68,34
150,67,34
161,60,31
162,59,31
163,59,31
163,59,31
