r,g,b
91,93,61
90,94,63
90,93,62
89,93,62
88,92,63
89,93,63
90,92,62
90,93,61
95,92,58
95,93,59
95,93,58
95,93,58
95,93,58
96,94,58
96,94,57
95,93,59
95,93,58
97,92,58
95,93,58
96,93,59
97,92,57
96,91,58
96,94,58
90,92,61
90,92,61
91,93,61
91,93,62
90,94,61
91,93,62
90,94,62
89,93,62
90,93,61
90,94,62
96,94,59
97,92,57
97,92,58
96,94,59
97,94,58
98,91,58
96,93,58
89,94,63
89,94,64
90,92,61
89,92,63
89,92,63
89,92,63
89,93,62
89,93,62
88,93,63
89,92,63
89,94,63
90,92,62
91,93,62
98,95,60
99,92,60
98,91,58
97,94,59
90,94,63
90,95,62
89,93,62
89,92,63
89,94,62
89,93,62
88,93,63
89,93,62
88,93,63
89,94,62
89,93,61
93,93,60
95,92,58
95,92,58
96,93,59
95,92,59
96,93,57
96,93,59
96,94,58
